,Statute,OffenseDescription,OffenseDescription2,OffenseType
6992,625 5/6-112          TH442823,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6993,625 5/6-112          TH557021,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6994,625 5/6-112         TH380621,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6995,625 5/6-112         TK023730,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6996,625 5/6-112        TH390056,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6997,625 5/6-112 TN632444,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6998,625 5/6-112 TN659655,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6999,625 5/6-112 TN783808,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7000,625 5/6-112 TU017202,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7001,625 5/6-112 TU022294,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7002,625 5/6-112 TU084591,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7003,625 5/6-113,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7004,625 5/6-113(E),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7005,625 5/6-116,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7006,625 5/6-116(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7007,625 5/6-12            TH570170,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7008,625 5/6-12           TH573045,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7009,625 5/6-20-E,Consumption of alcohol by a minor,Other public order offense,Public order offense
7010,625 5/6-203,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7011,625 5/6-206.2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7012,625 5/6-206.2(C),Other offense,Other public order offense,Public order offense
7013,625 5/6-2102,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7014,625 5/6-30.2-B-1,Possessing fictitious or altered license,Other vehicle-related offense,DUI/vehicle offense
7015,625 5/6-301,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7016,625 5/6-301 A 1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7017,625 5/6-301-2(B)(1),Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense
7018,625 5/6-301-A-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7019,625 5/6-301-A-3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7020,625 5/6-301-A-4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7021,625 5/6-301-B-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7022,625 5/6-301.1,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7023,625 5/6-301.1-1,Possessing fictitious or altered license,Other vehicle-related offense,DUI/vehicle offense
7024,625 5/6-301.1-B-1,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7025,625 5/6-301.1-B-11,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7026,625 5/6-301.1-B-2,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7027,625 5/6-301.1(B)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7028,625 5/6-301.1A,Possessing fictitious or altered license,Other vehicle-related offense,DUI/vehicle offense
7029,625 5/6-301.2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7030,625 5/6-301.2-B-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7031,625 5/6-301.2-B-11,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7032,625 5/6-301.2-B-12,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7033,625 5/6-301.2-B-2,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7034,625 5/6-301.2-B-3,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
7035,625 5/6-301.2(B)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7036,625 5/6-301.3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7037,625 5/6-301(A) 1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7038,625 5/6-301(A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7039,625 5/6-301(A)(3),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7040,625 5/6-301A1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7041,625 5/6-303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7042,625 5/6-303            38993890,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7043,625 5/6-303            39003994,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7044,625 5/6-303           38984542,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7045,625 5/6-303           38986324,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7046,625 5/6-303          38743899,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7047,625 5/6-303          38977080,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7048,625 5/6-303          38979191,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7049,625 5/6-303          38984781,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7050,625 5/6-303          39001238,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7051,625 5/6-303          8737725,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7052,625 5/6-303          8979029,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7053,625 5/6-303        8747683,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7054,625 5/6-303       38979466,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7055,625 5/6-303       8976434,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7056,625 5/6-303 (A),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7057,625 5/6-303 (D-3),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7058,625 5/6-303 (D),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7059,625 5/6-303 A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7060,625 5/6-303 D,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7061,625 5/6-303 D 1,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7062,625 5/6-303 D 3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7063,625 5/6-303 S 1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7064,625 5/6-303 TN013635,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7065,625 5/6-303 TN623897,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7066,625 5/6-303-(D-2)(1),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7067,625 5/6-303-(D),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7068,625 5/6-303-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7069,625 5/6-303-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7070,625 5/6-303-A         38978367,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7071,625 5/6-303-A         TH578735,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7072,625 5/6-303-A        TH367187,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7073,625 5/6-303-A       TH380622,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7074,625 5/6-303-A      TH390058,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7075,625 5/6-303-A      TH534572,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7076,625 5/6-303-A      TH588614,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7077,625 5/6-303-A      TH607863,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7078,625 5/6-303-A     TH270298,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7079,625 5/6-303-A     TN-277-656,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7080,625 5/6-303-A    TH408327,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7081,625 5/6-303-A    TH495601,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7082,625 5/6-303-A   TH444224,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7083,625 5/6-303-A   TH552277,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7084,625 5/6-303-A  TN-062-101,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7085,625 5/6-303-A  TN764896,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7086,625 5/6-303-A 5/6-303-A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7087,625 5/6-303-A TK-244-168,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7088,625 5/6-303-A TN208469,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7089,625 5/6-303-A TN254447,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7090,625 5/6-303-A TN453283,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7091,625 5/6-303-A TN539874,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7092,625 5/6-303-A TN649492,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7093,625 5/6-303-A TN783807,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7094,625 5/6-303-A TN822714,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7095,625 5/6-303-A TN846617,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7096,625 5/6-303-A TQ007013,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7097,625 5/6-303-A TQ014178,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7098,625 5/6-303-A YE729194,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7099,625 5/6-303-A YU022293,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7100,625 5/6-303-A-0-0,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7101,625 5/6-303-A-00,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7102,625 5/6-303-A-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7103,625 5/6-303-A-5,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7104,625 5/6-303-A-A-3-1,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7105,625 5/6-303-A-C-3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7106,625 5/6-303-A-D,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7107,625 5/6-303-A-D-1,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7108,625 5/6-303-A-D-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7109,625 5/6-303-A-D-3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7110,625 5/6-303-A-D-3-1,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7111,625 5/6-303-A-D-3-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7112,625 5/6-303-A-D-5,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7113,625 5/6-303-A-O-4,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7114,625 5/6-303-AB,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7115,625 5/6-303-B,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7116,625 5/6-303-B-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7117,625 5/6-303-C,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7118,625 5/6-303-C-1,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7119,625 5/6-303-C-3,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7120,625 5/6-303-C-3-C-4,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7121,625 5/6-303-C-4,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7122,625 5/6-303-C-5,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7123,625 5/6-303-C-C-3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
7124,625 5/6-303-D,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7125,625 5/6-303-D 3,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
